,countries,cases,todays,deaths,recovered,active
0,World,"124,390,921","+101,512","2,737,714","100,367,054","21,286,153"
1,USA,"30,578,674","+1,712","555,991","22,846,553","7,176,130"
2,Brazil,"12,051,619",,"295,685","10,507,995","1,247,939"
3,India,"11,686,796",+466,"160,200","11,181,253","345,343"
4,Russia,"4,474,610","+8,457","95,818","4,088,045","290,747"
5,UK,"4,301,925",,"126,172","3,694,155","481,598"
6,France,"4,298,395",,"92,621","281,885","3,923,889"
7,Italy,"3,400,877",,"105,328","2,732,482","563,067"
8,Spain,"3,228,803",,"73,543","2,987,474","167,786"
9,Turkey,"3,035,338",,"30,178","2,844,681","160,479"
10,Germany,"2,678,262",,"75,418","2,433,800","169,044"
11,Colombia,"2,342,278",,"62,148","2,235,343","44,787"
12,Argentina,"2,252,172",,"54,671","2,037,686","159,815"
13,Mexico,"2,197,160","+1,388","198,239","1,740,254","258,667"
14,Poland,"2,089,869","+16,741","49,761","1,693,875","346,233"
15,Iran,"1,808,422",,"61,877","1,549,649","196,896"
16,Ukraine,"1,565,732","+11,476","30,431","1,268,886","266,415"
17,South Africa,"1,538,451",,"52,196","1,463,953","22,302"
18,Czechia,"1,475,538","+8,167","25,055","1,276,488","173,995"
19,Peru,"1,472,790",,"50,339","1,388,554","33,897"
20,Indonesia,"1,471,225","+5,297","39,865","1,304,921","126,439"
21,Netherlands,"1,207,806",,"16,290",N/A,N/A
22,Canada,"938,719",,"22,716","880,159","35,844"
23,Chile,"938,094",,"22,359","877,189","38,546"
24,Romania,"907,007","+6,149","22,442","814,182","70,383"
25,Belgium,"839,238","+2,232","22,728","55,615","760,895"
26,Israel,"829,288",+524,"6,114","808,495","14,679"
27,Portugal,"817,778",,"16,784","767,874","33,120"
28,Iraq,"798,547",,"14,036","719,161","65,350"
29,Sweden,"744,272",,"13,262",N/A,N/A
30,Philippines,"677,653","+5,867","12,992","578,461","86,200"
31,Pakistan,"633,741","+3,270","13,935","585,271","34,535"
32,Hungary,"586,123","+5,481","18,703","378,176","189,244"
33,Switzerland,"584,252",,"10,239","537,671","36,342"
34,Bangladesh,"577,241","+3,554","8,738","525,694","42,809"
35,Serbia,"555,897",,"4,966","469,873","81,058"
36,Jordan,"544,724",,"5,985","441,239","97,500"
37,Austria,"519,980","+3,415","9,121","477,940","32,919"
38,Morocco,"491,834",,"8,769","479,557","3,508"
39,Japan,"456,781",,"8,835","434,274","13,672"
40,UAE,"444,398","+2,172","1,451","427,188","15,759"
41,Lebanon,"441,014",,"5,808","347,563","87,643"
42,Saudi Arabia,"385,424",,"6,613","374,799","4,012"
43,Panama,"351,213",,"6,052","339,961","5,200"
44,Slovakia,"350,551","+1,281","9,190","255,300","86,061"
45,Malaysia,"335,540","+1,384","1,244","319,842","14,454"
46,Ecuador,"312,851",,"16,478","271,847","24,526"
47,Belarus,"311,428",,"2,166","302,168","7,094"
48,Bulgaria,"307,890",,"12,188","237,031","58,671"
49,Georgia,"278,178",+528,"3,714","270,668","3,796"
50,Nepal,"276,244",+188,"3,019","272,097","1,128"
51,Bolivia,"265,207",+573,"12,074","212,691","40,442"
52,Croatia,"258,745",+956,"5,808","246,543","6,394"
53,Dominican Republic,"249,776",,"3,275","206,293","40,208"
54,Azerbaijan,"246,974",,"3,366","233,087","10,521"
55,Tunisia,"245,923",,"8,569","213,106","24,248"
56,Greece,"238,830",,"7,531","204,560","26,739"
57,Kazakhstan,"234,007","+1,101","2,934","212,091","18,982"
58,Ireland,"231,119",,"4,588","23,364","203,167"
59,Denmark,"226,777",,"2,402","214,289","10,086"
60,Palestine,"225,976",,"2,458","199,965","23,553"
61,Kuwait,"220,455",,"1,233","204,978","14,244"
62,Moldova,"216,094",,"4,590","189,875","21,629"
63,Costa Rica,"211,903",,"2,896","190,236","18,771"
64,Lithuania,"210,202",+855,"3,501","195,115","11,586"
65,Slovenia,"207,298",+981,"3,985","192,439","10,874"
66,Paraguay,"196,112",,"3,769","161,319","31,024"
67,Egypt,"196,061",,"11,637","150,424","34,000"
68,Ethiopia,"188,902",,"2,674","148,571","37,657"
69,Guatemala,"188,119",,"6,710","171,873","9,536"
70,Armenia,"185,020",+801,"3,384","169,172","12,464"
71,Honduras,"183,280",+871,"4,469","69,177","109,634"
72,Qatar,"174,228",,274,"160,762","13,192"
73,Nigeria,"161,868",,"2,030","148,125","11,713"
74,Bosnia and Herzegovina,"154,627",,"5,938","125,343","23,346"
75,Libya,"153,411",+901,"2,564","140,420","10,427"
76,Oman,"152,364",+836,"1,633","139,846","10,885"
77,Venezuela,"151,894",,"1,502","141,260","9,132"
78,Myanmar,"142,246",,"3,204","131,763","7,279"
79,Bahrain,"136,741",,502,"129,242","6,997"
80,Kenya,"122,040",,"2,023","90,376","29,641"
81,Albania,"121,544",,"2,145","85,846","33,553"
82,North Macedonia,"119,828",,"3,503","101,474","14,851"
83,Algeria,"116,255",,"3,061","80,887","32,307"
84,S. Korea,"99,421",+346,"1,704","91,079","6,638"
85,Latvia,"98,094",+508,"1,840","88,322","7,932"
86,Estonia,"97,456","+1,064",809,"70,346","26,301"
87,Sri Lanka,"90,514",,551,"87,058","2,905"
88,Ghana,"89,787",+105,731,"85,965","3,091"
89,Norway,"88,035",,649,"74,332","13,054"
90,Montenegro,"87,638",,"1,208","78,351","8,079"
91,Kyrgyzstan,"87,537",+75,"1,490","84,274","1,773"
92,Zambia,"86,535",,"1,182","83,319","2,034"
93,Uruguay,"84,230",,811,"68,983","14,436"
94,Uzbekistan,"81,559",+113,622,"79,949",988
95,Finland,"72,713",+640,808,"46,000","25,905"
96,Cuba,"67,476",,397,"63,639","3,440"
97,Mozambique,"66,306",,747,"52,882","12,677"
98,El Salvador,"63,344",,"1,986","60,681",677
99,Singapore,"60,221",+13,30,"60,051",140
